ent idx,ent name
0,600809
1,1054242
2,1131750
3,2802665
4,3556940
5,3996022
6,3998320
7,4939240
8,5569728
9,6571131
10,7170870
11,7961435
12,8230045
13,8461610
14,9247404
15,9522859
16,9647007
17,11294935
18,11417480
19,11734626
20,11975074
21,13146622
22,14486327
23,14577454
24,14693105
25,14870606
26,15181896
27,16277190
28,16463469
29,17206328
30,18661492
31,19838719
32,19859840
33,20263855
34,20552531
35,20706715
36,20846380
37,21374893
38,21642512
39,21920715
40,22757737
41,23809931
42,25592276
43,26396686
44,26674591
45,27573736
46,28911669
47,29247372
48,29715045
49,30846372
50,31317345
51,31491884
52,32425550
53,32866859
54,33957460
55,34882432
56,36558220
57,36567530
58,36817426
59,37949880
60,38343657
61,38425578
62,39316197
63,39398021
64,39863145
65,40468588
66,40544600
67,41287787
68,42150041
69,43631730
70,44313670
71,44566778
72,45127103
73,46795505
74,46920851
75,47224448
76,47310491
77,47322308
78,48743546
79,49390660
80,49517565
81,49714437
82,50005286
83,50253649
84,50386207
85,50978460
86,51193304
87,51252523
88,51806632
89,52461088
90,52608707
91,52611415
92,52878318
93,54508288
94,55659646
95,56265309
96,56523725
97,56784993
98,58352970
99,59165595
100,59180215
101,62664221
102,62771418
103,63274347
104,63967978
105,63969291
106,64614596
107,64768984
108,65165248
109,65180726
110,65695530
111,66274328
112,66605556
113,67471238
114,68172979
115,68647933
116,69280081
117,69580202
118,69729926
119,69849359
120,70537223
121,70584176
122,71468069
123,71776168
124,71983023
125,72000001
126,73352735
127,73844782
128,74729411
129,74744199
130,76682612
131,77318808
132,77808685
133,78338463
134,79322368
135,79539834
136,79688811
137,80722512
138,81134122
139,81426150
140,81609020
141,82805805
142,83325592
143,83877788
144,84394583
145,86136036
146,87043747
147,87092865
148,87216843
149,87851631
150,89069103
151,89165356
152,89220770
153,89270761
154,90099059
155,90574487
156,91252516
157,91722451
158,91771476
159,92506891
160,92729615
161,92744346
162,93542763
163,93844316
164,94377749
165,94807620
166,95354270
167,95528040
168,95557974
169,96050354
170,96178016
171,96666225
172,97650978
173,97873019
174,99041993
175,99158311
176,100017046
177,100877483
178,101987720
179,102100166
180,102135272
181,103094062
182,103630699
183,104374575
184,104642017
185,104913491
186,105411793
187,105497285
188,107753856
189,108186346
190,108354223
191,110768802
192,111437437
193,111499319
194,111580311
195,111664379
196,112782799
197,112880921
198,113109168
199,115266414
200,115887762
201,115986665
202,117246943
203,117714133
204,118157120
205,118341226
206,118608292
207,118739493
208,119404713
209,119423729
210,119424995
211,119446760
212,119706490
213,119902748
214,121408219
215,122174391
216,122780429
217,123431303
218,123786707
219,124099912
220,124789769
221,126152663
222,126715099
223,126887848
224,128640261
225,129653104
226,131068924
227,132191293
228,132449695
229,132927516
230,133123545
231,134005222
232,134118335
233,134497701
234,134914367
235,135296926
236,136831842
237,137498042
238,138005956
239,138756989
240,139339711
241,139879641
242,141646437
243,142191884
244,142529531
245,144026811
246,144863721
247,145258116
248,145453544
249,146491902
250,146593245
251,146774069
252,147099843
253,147512275
254,148388297
255,149401873
256,149510650
257,149616312
258,149649219
259,150037954
260,151238104
261,151537292
262,152292807
263,152480113
264,154144281
265,154243168
266,154494306
267,155367886
268,155783479
269,155807120
270,155862390
271,156996142
272,157024686
273,157663241
274,158017339
275,158256656
276,158704176
277,158880496
278,159932825
279,160155875
280,160571302
281,160613687
282,160851777
283,161429865
284,161592578
285,161704710
286,162235804
287,162796106
288,162949572
289,163285730
290,163626809
291,164247903
292,164368209
293,164802794
294,164888592
295,165150848
296,165649275
297,165841433
298,166908939
299,167131549
300,167225640
301,167517244
302,167926172
303,168290887
304,168332925
305,168717279
306,169248134
307,169926901
308,170446721
309,170607830
310,170682938
311,171910765
312,172699491
313,173655412
314,174452498
315,174657647
316,175857464
317,176200124
318,176308245
319,176465586
320,176487412
321,176582588
322,176737073
323,176876300
324,177563717
325,178786089
326,179297605
327,180006369
328,180414012
329,180929779
330,180993239
331,181152928
332,181560902
333,182716736
334,183224404
335,183488334
336,183743783
337,184851161
338,185394021
339,185786657
340,186002541
341,186304964
342,188068019
343,188489181
344,188746230
345,189057614
346,189709420
347,190218610
348,190626320
349,191998569
350,192163524
351,192410950
352,192617669
353,192928264
354,193016424
355,193102928
356,194049547
357,194226322
358,195293230
359,195954855
360,195962366
361,196825866
362,196915723
363,197212086
364,197754716
365,197927175
366,198934914
367,200060595
368,200165107
369,200373205
370,200982357
371,201137005
372,201324129
373,201755621
374,201890172
375,203774300
376,204245767
377,204865796
378,207527235
379,208792163
380,209991679
381,210089414
382,210299539
383,210477919
384,210909385
385,211089454
386,211350690
387,211960713
388,212050374
389,213239055
390,213579264
391,213818275
392,214245781
393,214596857
394,215099585
395,215454258
396,216264986
397,216893545
398,216962911
399,217026297
400,217558623
401,218174274
402,218260544
403,218633314
404,219245114
405,219841712
406,220412720
407,220495183
408,220647522
409,221024514
410,221252750
411,221589332
412,221855569
413,222239035
414,223124030
415,223187938
416,223196081
417,223515669
418,223797713
419,223924322
420,225159413
421,225393193
422,226868408
423,226930827
424,226975711
425,227331531
426,227417543
427,228270040
428,228288920
429,228368557
430,228471854
431,228572473
432,229082212
433,230046008
434,230123279
435,230737035
436,231009034
437,232460885
438,233074819
439,233082498
440,233686882
441,234898753
442,236404097
443,236625308
444,237000809
445,237150036
446,237632833
447,238287135
448,239141639
449,239310452
450,240984950
451,240996803
452,242431953
453,242633560
454,242966662
455,243042821
456,243330861
457,243445092
458,243744857
459,243790787
460,243994285
461,244161863
462,244196182
463,244259252
464,244429985
465,244759185
466,245228449
467,245286774
468,245523107
469,245746861
470,245863962
471,245967168
472,246108670
473,246297622
474,246536168
475,246681383
476,246813119
477,247150733
478,247246813
479,249010532
480,249183912
481,249873807
482,250139430
483,250284172
484,250302421
485,250803205
486,250848478
487,251153985
488,251234129
489,251605917
490,251996123
491,252191569
492,252378775
493,252594204
494,253106530
495,253118154
496,253295428
497,253846797
498,253875666
499,256260855
500,258557887
501,258601350
502,258635649
503,258805071
504,259142068
505,259287980
506,259904581
507,260196545
508,260523296
509,260823930
510,261280900
511,261329985
512,261789245
513,262071354
514,262675298
515,263018485
516,263626884
517,264058804
518,264434476
519,264783819
520,267704703
521,267828574
