label idx,label name
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,11
11,12
12,13
13,14
14,15
15,16
16,18
17,19
18,20
19,21
20,22
21,25
22,26
23,27
24,28
25,31
26,32
27,33
28,34
29,35
30,37
31,38
32,39
33,41
34,43
35,44
36,45
37,46
38,47
39,48
40,49
41,51
42,52
43,56
44,57
45,58
46,60
47,62
48,63
49,64
50,65
51,66
52,68
53,69
54,70
55,71
56,72
57,73
58,75
59,77
60,80
61,81
62,82
63,83
64,84
65,85
66,86
67,87
68,88
69,89
70,90
71,91
72,92
73,94
74,95
75,96
76,97
77,99
78,100
79,101
80,102
81,104
82,105
83,106
84,107
85,109
86,110
87,111
88,112
89,114
90,115
91,116
92,117
93,118
94,119
95,120
96,122
97,123
98,126
99,127
100,128
101,130
102,131
103,132
104,133
105,134
106,135
107,136
108,138
109,139
110,140
111,141
112,142
113,144
114,145
115,146
116,147
117,149
118,151
119,153
120,154
121,155
122,160
123,162
124,163
125,165
126,166
127,167
128,168
129,169
130,171
131,172
132,175
133,177
134,178
135,181
136,182
137,183
138,184
139,186
140,187
141,188
142,189
143,191
144,192
145,193
146,194
147,195
148,196
149,198
150,199
151,200
152,201
153,202
154,204
155,205
156,206
157,207
158,208
159,210
160,211
161,213
162,214
163,215
164,217
165,218
166,219
167,220
168,221
169,223
170,224
171,225
172,226
173,228
174,229
175,231
176,232
177,233
178,234
179,235
180,236
181,237
182,238
183,240
184,243
185,244
186,245
187,246
188,247
189,249
190,250
191,251
192,252
193,253
194,254
195,255
196,256
197,257
198,258
199,259
200,260
201,261
202,262
203,263
204,264
205,265
206,266
207,267
208,270
209,271
210,274
211,277
212,278
213,279
214,280
215,281
216,283
217,284
218,285
219,287
220,289
221,291
222,292
223,293
224,294
225,295
226,296
227,297
228,299
229,300
230,301
231,302
232,303
233,304
234,306
235,307
236,308
237,310
238,311
239,312
240,313
241,314
242,315
243,318
244,319
245,320
246,322
247,323
248,324
249,329
250,331
251,333
252,334
253,338
254,339
255,340
256,342
257,347
