label idx,label name
0,1
1,3
2,6
3,7
4,10
5,11
6,13
7,15
8,17
9,18
10,19
11,20
12,22
13,23
14,24
15,26
16,33
17,35
18,36
19,37
20,40
21,41
22,42
23,43
24,44
25,45
26,47
27,48
28,49
29,52
30,53
31,54
32,56
33,58
34,63
35,65
36,66
37,67
38,70
39,71
40,73
41,74
42,75
43,76
44,79
45,80
46,81
47,82
48,84
49,89
50,93
51,101
52,102
53,106
54,108
55,109
56,112
57,115
58,120
59,121
60,122
61,123
62,124
63,126
64,127
65,129
66,131
67,132
68,134
69,135
70,136
71,137
72,140
73,141
74,143
75,144
76,145
77,146
78,147
79,148
80,152
81,155
82,156
83,157
84,161
85,164
86,167
87,168
88,172
89,173
90,174
91,178
92,180
93,182
94,183
95,184
96,185
97,187
98,189
99,190
100,191
101,193
102,197
103,199
104,200
105,201
106,203
107,205
108,208
109,209
110,213
111,214
112,219
113,220
114,221
115,222
116,225
117,226
118,229
119,230
120,232
121,233
122,234
123,237
124,238
125,239
126,241
127,246
128,248
129,249
130,250
131,251
132,253
133,255
134,256
135,257
136,258
137,260
138,262
139,265
140,266
141,267
142,268
143,273
144,276
145,277
146,279
147,282
148,285
149,288
150,295
151,297
152,299
153,300
154,301
155,302
156,304
157,305
158,308
159,309
160,311
161,312
162,313
163,314
164,316
165,317
166,324
167,325
168,331
169,334
170,335
171,337
172,343
173,344
174,348
